number,category,title,filename,url,test_value
38,Networking-RFC,RFC 9002 QUIC Loss Detection and Congestion Control,38_rfc9002_quic_recovery.pdf,https://www.rfc-editor.org/rfc/rfc9002.pdf,Algorithms and exact parameter names
39,Networking-RFC,RFC 9293 Transmission Control Protocol TCP,39_rfc9293_tcp.pdf,https://www.rfc-editor.org/rfc/rfc9293.pdf,Long protocol standard with states and exact terms
40,Networking-RFC,RFC 9204 QPACK Field Compression for HTTP 3,40_rfc9204_qpack.pdf,https://www.rfc-editor.org/rfc/rfc9204.pdf,Narrow technical topic for precision retrieval tests
41,Reports-Manuals,NASA Systems Engineering Handbook,41_nasa_systems_engineering_handbook.pdf,https://www.nasa.gov/wp-content/uploads/2018/09/nasa_systems_engineering_handbook_0.pdf,Large handbook with diagrams checklists and engineering processes
42,Reports-Manuals,WHO World Health Statistics 2024,42_who_world_health_statistics_2024.pdf,https://iris.who.int/bitstream/handle/10665/376869/9789240094703-eng.pdf?sequence=1,Table-heavy real-world statistical report
43,Reports-Manuals,CNCF Cloud Native Security Whitepaper Version 2,43_cncf_cloud_native_security.pdf,https://www.cncf.io/wp-content/uploads/2022/06/CNCF_cloud-native-security-whitepaper-May2022-v2.pdf,Cloud-native architecture diagrams and security guidance
44,Reports-Manuals,CISA Zero Trust Maturity Model Version 2,44_cisa_zero_trust_maturity_model.pdf,https://www.cisa.gov/sites/default/files/2023-04/zero_trust_maturity_model_v2_508.pdf,Matrix and maturity-model retrieval tests
45,Reports-Manuals,AWS Well-Architected Framework,45_aws_well_architected_framework.pdf,https://docs.aws.amazon.com/pdfs/wellarchitected/latest/framework/wellarchitected-framework.pdf,Large cloud architecture document with repeated best-practice structure
46,Reports-Manuals,CISA Secure by Design Principles and Approaches for Secure Software,46_cisa_secure_by_design.pdf,https://www.cisa.gov/sites/default/files/2023-10/Shifting-the-Balance-of-Cybersecurity-Risk-Principles-and-Approaches-for-Secure-by-Design-Software.pdf,Policy and software-security prose
47,Reports-Manuals,World Development Report 2024 The Middle-Income Trap,47_world_bank_wdr_2024.pdf,https://documents1.worldbank.org/curated/en/099115409302442268/pdf/IDU-1db544df-9b0a-44ca-949e-26c89b9da9db.pdf,Economic report with charts tables and domain shift
48,Reports-Manuals,IPCC AR6 Synthesis Report Full Volume,48_ipcc_ar6_synthesis_report.pdf,https://www.ipcc.ch/report/ar6/syr/downloads/report/IPCC_AR6_SYR_FullVolume.pdf,Long visual report with figures glossary and scientific language
49,Reports-Manuals,NSA CISA Kubernetes Hardening Guidance Version 1.2,49_kubernetes_hardening_guidance.pdf,https://media.defense.gov/2022/Aug/29/2003066362/-1/-1/0/CTR_KUBERNETES_HARDENING_GUIDANCE_1.2_20220829.PDF,Kubernetes YAML-like terms security recommendations and appendices
50,Reports-Manuals,DOD DevSecOps Reference Design Multi-Cluster Kubernetes,50_dod_devsecops_multicluster_kubernetes.pdf,https://dodcio.defense.gov/Portals/0/Documents/Library/DevSecOpsRefDesign-Multi-ClusterKubernetes.pdf,Enterprise platform architecture diagrams and DevSecOps terminology
